"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
study_id,demographics,,text,"Study ID",,,,,,,,,,
date_enrolled,demographics,"Demographic Characteristics",text,"Date subject signed consent",,YYYY-MM-DD,date_ymd,,,,,,,
first_name,demographics,,text,"First Name",,,,,,y,,,,
last_name,demographics,,text,"Last Name",,,,,,y,,,,
address,demographics,"Contact Information",notes,"Street, City, State, ZIP",,,,,,y,,,,
telephone_1,demographics,,text,"Phone number",,"Include Area Code",phone,,,y,,,,
telephone_2,demographics,,text,"Second phone number",,"Include Area Code",phone,,,y,,,,
email,demographics,,text,E-mail,,,email,,,y,,,,
ethnicity,demographics,"Other information",radio,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown / Not Reported",,,,,,,,LH,
race,demographics,,radio,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported",,,,,,,,,
sex,demographics,,radio,Gender,"0, Female | 1, Male",,,,,,,y,RH,
given_birth,demographics,,yesno,"Has the patient given birth before?",,,,,,,"[sex] = ""0""",,,
num_children,demographics,,text,"How many times has the patient given birth?",,,integer,0,,,"[sex] = ""0"" and [given_birth] = ""1""",,,
specify_mood,demographics,,slider,"Specify the patient's mood","Very sad | Indifferent | Very happy",,,,,,,,,
patient_document,demographics,,file,"Upload the patient's consent form",,,,,,,,,,
meds,demographics,,checkbox,"Is patient taking any of the following medications? (check all that apply)","1, Lexapro | 2, Celexa | 3, Prozac | 4, Paxil | 5, Zoloft",,,,,,,,,
dob,demographics,,text,"Date of birth",,,date_ymd,,,y,,,,
age,demographics,,calc,"Age (years)","rounddown(datediff([dob],'today','y'))",,,,,,,,,
height,demographics,,text,"Height (cm)",,,number,130,215,,,,,
weight,demographics,,text,"Weight (kilograms)",,,integer,35,200,,,,,
bmi,demographics,,calc,BMI,"round(([weight]*10000)/(([height])^(2)),1)",,,,,,,,,
comments,demographics,"General Comments",notes,Comments,,,,,,,,,,
date_visit_b,baseline_data,"Baseline Measurements",text,"Date of baseline visit",,,date_ymd,,,,,,,
date_blood_b,baseline_data,,text,"Date blood was drawn",,,date_ymd,,,,,,,
alb_b,baseline_data,,text,"Serum Albumin (g/dL)",,,integer,3,5,,,,,
prealb_b,baseline_data,,text,"Serum Prealbumin (mg/dL)",,,number,10,40,,,,,
