ElementName,DataType,Size,Unit,Required,ElementDescription,ValueRange,Keywords,Notes,Section,Aliases
subjectkey,GUID,0,,Required,"The NDAR Global Unique Identifier (GUID) for subjects which identifies a subject in NDAR","NDAR*",,"","Header",""
src_subject_id,String,20,,Recommended,"The site's subject identification","",,"","Header","ABC_Comm_SRC_Subject_ID"
interview_date,Date,0,,Required,"Date on which the interview/genetic test/sampling/imaging was completed","MM/yyyy;MM/dd/yyyy",,"* '01/01/1900' indicates that a date associated with retrospective data is not known.","Header","ABC_Comm_interview_date"
interview_age,Integer,0,,Required,"Age in months at the time of the interview/test/sampling/imaging.","0 to 1200",,"Age is rounded to chronological month If the research participant is 13 days old at time of interview  the appropriate value would be 0 months if the participant is 19 days old the value would be 1 month","Header","ABC_Comm_interview_age"
comments_misc,String,255,,Optional,"Miscellaneous comments on study, interview, methodology relevant to this form data","",,"","Header","ABC_Comm_comments_misc"
inter_relationparent,String,50,,Required,"Relationship to client - Parent","Yes;No",,"","Header","ABC_Comm_inter_relationparent"
inter_relationteacher,String,50,,Required,"Relationship to client - Teacher","Yes;No",,"","Header","ABC_Comm_inter_relationteacher"
inter_relationtrainer,String,50,,Required,"Relationship to client - Trainer/Supervisor","Yes;No",,"","Header","ABC_Comm_inter_relationtrainer"
inter_relationother,String,50,,Required,"Relationship to client - Other","Yes;No",,"","Header","ABC_Comm_inter_relationother"
inter_relationothspecify,String,255,,Required,"Relationship to client - Other (please specify)","",,"","Header","ABC_Comm_inter_relationothspecify"
inter_whrhome,String,50,,Recommended,"Where Was the Client Observed? Home","Yes;No",,"","Interview","ABC_Comm_inter_whrhome"
inter_whrschool,String,50,,Recommended,"Where Was the Client Observed? School","Yes;No",,"","Interview","ABC_Comm_inter_whrschool"
inter_whrresid,String,50,,Recommended,"Where Was the Client Observed? Residential Unit","Yes;No",,"","Interview","ABC_Comm_inter_whrresid"
inter_whrwrksp,String,50,,Recommended,"Where Was the Client Observed? Workshop","Yes;No",,"","Interview","ABC_Comm_inter_whrwrksp"
inter_whroth,String,50,,Recommended,"Where Was the Client Observed? Other","Yes;No",,"","Interview","ABC_Comm_inter_whroth"
inter_whrothspec,String,50,,Recommended,"Specify Location, if Other:","",,"","Interview","ABC_Comm_inter_whrothspec"
inter_cladh,String,50,,Recommended,"If in School, Type of Class (check one): Developmentally Handicapped","Yes;No",,"","Interview","ABC_Comm_inter_cladh"
inter_clamh,String,50,,Recommended,"If in School, Type of Class (check one): Multihandicapped","Yes;No",,"","Interview","ABC_Comm_inter_clamh"
inter_clasbh,String,50,,Recommended,"If in School, Type of Class (check one): Severe Behavior Handicap","Yes;No",,"","Interview","ABC_Comm_inter_clasbh"
inter_claoth,String,50,,Recommended,"If in School, Type of Class (check one): Other","Yes;No",,"","Interview","ABC_Comm_inter_claoth"
inter_claothspec,String,50,,Recommended,"Specify Class, if Other:","",,"","Interview","ABC_Comm_inter_claothspec"
