ElementName,DataType,Size,Unit,Required,ElementDescription,ValueRange,Keywords,Notes,Section,Aliases
subjectkey,GUID,0,,Required,"The NDAR Global Unique Identifier (GUID) for subjects which identifies a subject in NDAR","NDAR*",,"","Header","GUID"
src_subject_id,String,20,,Required,"The site's subject identification","",,"","Header","ADI_2003_SRC_Subject_ID,SubjectID"
interview_date,Date,0,,Required,"Date on which the interview/genetic test/sampling/imaging was completed","MM/yyyy;MM/dd/yyyy",,"* '01/01/1900' indicates that a date associated with retrospective data is not known.","Header","Date_taken,ADI_2003_interview_date"
interview_age,Integer,0,,Required,"Age in months at the time of the interview/test/sampling/imaging.","0 to 1200",,"Age is rounded to chronological month If the research participant is 13 days old at time of interview  the appropriate value would be 0 months if the participant is 19 days old the value would be 1 month","Header","ADI_2003_interview_age,Proband_Age_in_Months"
comments_misc,String,255,,Optional,"Miscellaneous comments on study, interview, methodology relevant to this form data","",,"","Header","ADI_2003_comments_misc"
bkgrnd_diag,String,255,,Required,"Diagnosis","",,"","Header","Adi_R_Diagnostic_Autism_DX,ADI_2003_bkgrnd_diag,summary_diagnosis"
bkgrnd_med,String,255,,Recommended,"Medication","",,"","Header","MEDICATIONS_SPFY,ADI_2003_bkgrnd_med"
bkgrnd_intro,String,1024,,Recommended,"Notes for Introductory Questions","",,"","Header","ADI_2003_bkgrnd_intro"
bkgrnd_concern,String,1024,,Recommended,"Current Concerns (specify)","",,"","Header","ADI_R_Diagnostic_ADI_R_Raw_1,WPS_ADI_Q1A,DEVELOP_CONCERN_SPFY,ADI_2003_bkgrnd_concern"
gender,String,50,,Required,"Gender","M;F",,"","Header","ADI_2003_gender"
relationship,String,255,,Recommended,"Relationship of Respondent to Individual","",,"","Header","ADI_INFORM,informant_relation,ADI_2003_relationship"
bkgrnd_family_dev_delay,String,255,,Recommended,"Family history of developmental delays","",,"","Header","ADI_2003_bkgrnd_family_dev_delay"
bkgrnd_education,String,255,,Recommended,"Subject's education (school and preschool)","",,"","Header","ADI_2003_bkgrnd_education"
earlydev_acon,Integer,0,,Recommended,"Age (in months) when parents first noticed that something is not quite right in language, relationships or behavior(in months)","0 to 900;991;992;996;997;998;999",,"","Early Development","WPS_ADI_Q2,ADI_R_Diagnostic_ADI_R_Raw_2a,DEVELOP_CONCERN_AGE_MNTH,ADI_2003_earlydev_acon,q_2_age_first_noticed_code"
earlydev_fsymc,String,1024,,Recommended,"First symptoms to arouse parental concern (specify)","",,"","Early Development","WPS_ADI_Q3A,ADI_R_Diagnostic_ADI_R_Raw_3,DEVELOP_SYMP_1,ADI_2003_earlydev_fsymc"
earlydev_hind,Integer,0,,Recommended,"Onset as perceived with hindsight","0;1;2;3;4;5;6;7;8;9",,"","Early Development","WPS_ADI_Q4,ADI_R_Diagnostic_ADI_R_Raw_4,DEVELOP_HINDSIGHT,q_4_onset_as_perceived_code,ADI_2003_earlydev_hind"
earlydev_hind_cmt,String,255,,Optional,"Onset as perceived with hindsight - Comment","",,"","Early Development","DEVELOP_HINDSIGHT_DATE,ADI_2003_earlydev_hind_cmt"
earlydev_walk,Integer,0,,Recommended,"First walked unaided (in months)","0 to 900;995;996;997;998;999",,"","Early Development","WPS_ADI_Q5,ADI_R_Diagnostic_ADI_R_Raw_5a,WALK_ALONE_AGE,ADI_2003_earlydev_walk,q_5_first_walked_code"
earlydev_walk_cmt,String,255,,Optional,"First walked unaided - Comment","",,"995= Still not reached
996= N/K but apparently normal
997= N/K but apparently delayed
998= N/A
999= N/K or not asked","Early Development","WALK_ALONE,ADI_2003_earlydev_walk_cmt"
earlydev_drydz,Integer,0,,Recommended,"Acquisition of bladder control: Daytime (in months)","0 to 900;993;994;995;996;997;998;999",,"","Early Development","WPS_ADI_Q6,ADI_R_Diagnostic_ADI_R_Raw_6a,TOILET_TRAIN_DAY_AGE,ADI_2003_earlydev_drydz,q_6_bladder_daytime_code"
earlydev_drynz,Integer,0,,Recommended,"Acquisition of bladder control: Night (in months)","0 to 900;993;994;995;996;997;998;999",,"","Early Development","WPS_ADI_Q7,ADI_R_Diagnostic_ADI_R_Raw_7a,TOILET_TRAIN_NIGHT_AGE,ADI_2003_earlydev_drynz,q_7_bladder_nighttime_code"
earlydev_bowel,Integer,0,,Recommended,"Acquisition of bowel control (in months)","0 to 900;993;994;995;996;997;998;999",,"","Early Development","WPS_ADI_Q8,ADI_R_Diagnostic_ADI_R_Raw_8a,BOWEL_CONTROL_AGE,q_8_bowel_control_code,ADI_2003_earlydev_bowel"
earlydev_bowel_cmt,String,255,,Optional,"Acquisition of bowel control - Comment","",,"993= Achieved bowel control for a period of 12 months but has relapsed and now regularly soils
994= Never achieved continence
995= Still not reached
996= N/K but apparently normal
997= N/K but apparently delayed
998= N/A
999= N/K or not asked","Early Development","BOWEL_CONTROL,ADI_2003_earlydev_bowel_cmt"
acqorlossoflang_aword,Integer,0,,Recommended,"Age of first single words (If ever used) - In months","0 to 900;993;994;996;997;999",,"","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q9,ADI_R_Diagnostic_ADI_R_Raw_9a,SPCH_SINGLE_WORD_AGE,ADI_2003_acqorlossoflang_aword,q_9_first_single_words_code"
