ElementName,DataType,Size,Unit,Required,ElementDescription,ValueRange,Keywords,Notes,Section,Aliases
subjectkey,GUID,0,,Required,"The NDAR Global Unique Identifier (GUID) for subjects which identifies a subject in NDAR","NDAR*",,"","Header",""
src_subject_id,String,20,,Required,"The site's subject identification","",,"","Header",""
interview_date,Date,0,,Required,"Date on which the interview/genetic test/sampling/imaging was completed","MM/yyyy;MM/dd/yyyy",,"* '01/01/1900' indicates that a date associated with retrospective data is not known.","Header","Addate"
interview_age,Integer,0,,Required,"Age in months at the time of the interview/test/sampling/imaging.","0 to 1200",,"Age is rounded to chronological month If the research participant is 13 days old at time of interview  the appropriate value would be 0 months if the participant is 19 days old the value would be 1 month","Header","ADagemos"
adint_2006,String,5,,Recommended,"Interviewer initials","",,"","",""
gender,String,50,,Required,"Gender","M;F",,"","",""
adinf_2006,String,50,,Required,"respondent's relationship to child","",,"","",""
ad002_2006,Integer,0,,Recommended,"2. Age when parents first noticed that something was amiss (months)","",,"","",""
ad003a,Integer,0,,Recommended,"3A. First symptoms to arouse parental concerns #1","0;1;2;3;4;5;6;7;8;9",,"","",""
ad003b,Integer,0,,Recommended,"3B.  First symptoms to arouse parental concerns #2","0;1;2;3;4;5;6;7;8;9",,"","",""
ad003c,Integer,0,,Recommended,"3C.  First symptoms to arouse parental concerns #3","0;1;2;3;4;5;6;7;8;9",,"","",""
ad003d,Integer,0,,Recommended,"3D.  First symptoms to arouse parental concerns #4","0;1;2;3;4;5;6;7;8;9",,"","",""
adidx_2006,String,100,,Required,"5. ADI Diagnosis - text","",,"","",""
ad004_2006,Integer,0,,Recommended,"7. Age (in months) when parents first noticed social or communication difficulties","",,"","",""
ad005,Integer,0,,Recommended,"5. Onset as perceived in hindsight","0;1;2;3;4;5;7;8;9",,"","",""
ad006_2006,Integer,0,,Recommended,"9. First sat unaided on flat surface (months)","",,"","",""
ad007_2006,Integer,0,,Recommended,"10. First walked unaided (months)","",,"","",""
ad008_2006,Integer,0,,Recommended,"11. Acquisition of bladder control: daytime","",,"","",""
