ElementName,DataType,Size,Unit,Required,ElementDescription,ValueRange,Keywords,Notes,Section,Aliases
subjectkey,GUID,0,,Required,"The NDAR Global Unique Identifier (GUID) for subjects which identifies a subject in NDAR","NDAR*",,"","Header",""
src_subject_id,String,20,,Required,"The site's subject identification","",,"","Header","Ados4_2001_SRC_Subject_ID"
interview_date,Date,0,,Required,"Date on which the interview/genetic test/sampling/imaging was completed","MM/yyyy;MM/dd/yyyy",,"* '01/01/1900' indicates that a date associated with retrospective data is not known.","Header","Ados4_2001_interview_date"
interview_age,Integer,0,,Required,"Age in months at the time of the interview/test/sampling/imaging.","0 to 1200",,"Age is rounded to chronological month If the research participant is 13 days old at time of interview  the appropriate value would be 0 months if the participant is 19 days old the value would be 1 month","Header","Ados4_2001_interview_age"
comments_misc,String,255,,Optional,"Miscellaneous comments on study, interview, methodology relevant to this form data","",,"","Header","Ados4_2001_comments_misc"
gender,String,50,,Recommended,"Gender","M;F",,"","Header","Ados4_2001_gender"
observation_d_1,String,255,,Recommended,"Construction Task","",,"","Observation","Ados4_2001_Observation_1"
observation_d_1_1,String,255,,Recommended,"Construction Task Communication Sample","",,"","Observation","Ados4_2001_Observation_1_1"
observation_d_2,String,255,,Recommended,"Telling a Story From a Book","",,"","Observation","Ados4_2001_Observation_2"
observation_d_3,String,255,,Recommended,"Description of a Picture (Optional)","",,"","Observation","Ados4_2001_Observation_3"
observation_d_4,String,255,,Recommended,"Conversation and Reporting","",,"","Observation","Ados4_2001_Observation_4"
observation_d_5,String,255,,Recommended,"Current Work or School (Optional)","",,"","Observation","Ados4_2001_Observation_5"
observation_d_6,String,255,,Recommended,"Social Difficulties and Annoyance","",,"","Observation","Ados4_2001_Observation_6"
observation_d_7,String,255,,Recommended,"Emotions","",,"","Observation","Ados4_2001_Observation_7"
observation_d_8,String,255,,Recommended,"Demonstration Task","",,"","Observation","Ados4_2001_Observation_8"
observation_d_9,String,255,,Recommended,"Cartoons","",,"","Observation","Ados4_2001_Observation_9"
observation_d_10,String,255,,Recommended,"Break","",,"","Observation","Ados4_2001_Observation_10"
observation_d_11,String,255,,Recommended,"Daily Living (Optional)","",,"","Observation","Ados4_2001_Observation_11"
observation_d_12,String,255,,Recommended,"Friend and Marriage","",,"","Observation","Ados4_2001_Observation_12"
observation_d_13,String,255,,Recommended,"Loneliness","",,"","Observation","Ados4_2001_Observation_13"
observation_d_14,String,255,,Recommended,"Plans and Hopes","",,"","Observation","Ados4_2001_Observation_14"
observation_d_15,String,255,,Recommended,"Creating a Story","",,"","Observation","Ados4_2001_Observation_15"
codinga_olang_d,Integer,0,,Recommended,"Overall Level of Non-echoed Language","0;1;2;3",,"","Coding Group A","Ados4_2001_codinga_olang,ados_mod4_a1"
codinga_spabn_d,Integer,0,,Recommended,"Speech Abnormalities Associated with Autism (Intonation/Volume/Rhythm/Rate)","0;1;2;7;8",,"","Coding Group A","Ados4_2001_codinga_spabn,ados_mod4_a2"
codinga_iecho_d,Integer,0,,Recommended,"Immediate Echolalia","0;1;2;3",,"","Coding Group A","Ados4_2001_codinga_iecho,ados_mod4_a3"
codinga_stereo_d,Integer,0,,Recommended,"Stereotyped/Idiosyncratic Use of Words or Phrases","0;1;2;3",,"","Coding Group A","ados_mod4_a4,Ados4_2001_codinga_stereo"
codinga_oinfo_d,Integer,0,,Recommended,"Offers Information","0;1;2",,"","Coding Group A","ados_mod4_a5,Ados4_2001_codinga_oinfo"
codinga_ainfo_d,Integer,0,,Recommended,"Asks for Information","0;1;2;3",,"","Coding Group A","ados_mod4_a6,Ados4_2001_codinga_ainfo"
codinga_reprt_d,Integer,0,,Recommended,"Reporting of Events","0;1;2;3",,"","Coding Group A","ados_mod4_a7,Ados4_2001_codinga_reprt"
codinga_convs_d,Integer,0,,Recommended,"Conversation","0;1;2;3",,"","Coding Group A","ados_mod4_a8,Ados4_2001_codinga_convs"
codinga_gest_d,Integer,0,,Recommended,"Descriptive, Conventional, Instrumental or Informational Gestures","0;1;2;3;8",,"","Coding Group A","Ados4_2001_codinga_gest,ados_mod4_a9"
codinga_egest_d,Integer,0,,Recommended,"Emphatic or Emotional Gestures","0;1;2;3;8",,"","Coding Group A","Ados4_2001_codinga_egest,ados_mod4_a10"
codingb_ueye_d,Integer,0,,Recommended,"Unusual Eye Contact","0;2",,"","Coding Group B","ados_mod4_b1,Ados4_2001_codingb_ueye"
codingb_faceo_d,Integer,0,,Recommended,"Facial Expressions Directed to Others","0;1;2",,"","Coding Group B","ados_mod4_b2,Ados4_2001_codingb_faceo"
codingb_llnvc_d,Integer,0,,Recommended,"Language Production and Linked Nonverbal Communication","0;1;2;7;8",,"","Coding Group B","ados_mod4_b3,Ados4_2001_codingb_llnvc"
codingb_sei_d,Integer,0,,Recommended,"Shared Enjoyment in Interaction","0;1;2;8",,"","Coding Group B","ados_mod4_b4,Ados4_2001_codingb_sei"
codingb_caff_d,Integer,0,,Recommended,"Communication of Own Affect","0;1;2;3",,"","Coding Group B","Ados4_2001_codingb_caff,ados_mod4_b5"
codingb_empth_d,Integer,0,,Recommended,"Empathy/Comments on Others' Emotions","0;1;2;3",,"","Coding Group B","Ados4_2001_codingb_empth,ados_mod4_b6"
codingb_insig_d,Integer,0,,Recommended,"Insight","0;1;2;3",,"","Coding Group B","Ados4_2001_codingb_insig,ados_mod4_b7"
codingb_resp_d,Integer,0,,Recommended,"Responsibility","0;1;2",,"","Coding Group B","Ados4_2001_codingb_resp,ados_mod4_b8"
codingb_qsov_d,Integer,0,,Recommended,"Quality of Social Overtures","0;1;2;3",,"","Coding Group B","Ados4_2001_codingb_qsov,ados_mod4_b9"
codingb_qsres_d,Integer,0,,Recommended,"Quality of Social Response","0;1;2;3",,"","Coding Group B","Ados4_2001_codingb_qsres,ados_mod4_b10"
codingb_arsoc_d,Integer,0,,Recommended,"Amount of Reciprocal Social Communication","0;1;2;3",,"","Coding Group B","Ados4_2001_codingb_arsoc,ados_mod4_b11"
codingb_oqrap_d,Integer,0,,Recommended,"Overall Quality of Rapport","0;1;2;3",,"","Coding Group B","Ados4_2001_codingb_oqrap,ados_mod4_b12"
codingc_imgcr_d,Integer,0,,Recommended,"Imagination/Creativity","0;1;2;3",,"","Coding Group C","Ados4_2001_codingc_imgcr,ados_mod4_c1"
codingd_usens_d,Integer,0,,Recommended,"Unusual Sensory Interest In Play Material/Person","0;1;2",,"","Coding Group D","ados_mod4_d1,Ados4_2001_codingd_usens"
codingd_usens_d_cmt,String,255,,Recommended,"Specify:","",,"","Coding Group D","Ados4_2001_codingd_usens_cmt"
codingd_oman_d,Integer,0,,Recommended,"Hand and Finger and Other Complex Mannerisms","0;1;2",,"","Coding Group D","ados_mod4_d2,Ados4_2001_codingd_oman"
codingd_oman_d_cmt,String,255,,Recommended,"Specify:","",,"","Coding Group D","Ados4_2001_codingd_oman_cmt"
codingd_selfinj_d,Integer,0,,Recommended,"Self-Injurious Behavior","0;1;2",,"","Coding Group D","Ados4_2001_codingd_selfinj,ados_mod4_d3"
codingd_topic_d,Integer,0,,Recommended,"Excessive Interest or References to Unusual or Highly Specific Topics or Objects or Repetitive Behaviors","0;1;2;3",,"","Coding Group D","ados_mod4_d4,Ados4_2001_codingd_topic"
codingd_ritl_d,Integer,0,,Recommended,"Compulsions or Rituals","0;1;2",,"","Coding Group D","Ados4_2001_codingd_ritl,ados_mod4_d5"
codingd_ritl_d_cmt,String,255,,Recommended,"Specify:","",,"","Coding Group D","Ados4_2001_codingd_ritl_cmt"
codinge_actve_d,Integer,0,,Recommended,"Over activity/Agitation","0;1;2;7",,"","Coding Group E","ados_mod4_e1,Ados4_2001_codinge_actve"
codinge_agg_d,Integer,0,,Recommended,"Tantrums, Aggression, Negative or Disruptive Behavior","0;1;2",,"","Coding Group E","ados_mod4_e2,Ados4_2001_codinge_agg"
codinge_anxty_d,Integer,0,,Recommended,"Anxiety","0;1;2",,"","Coding Group E","ados_mod4_e3,Ados4_2001_codinge_anxty"
scoresumm_d_a4,Integer,0,,Recommended,"Stereotyped/Idiosyncratic Use of Words or Phrases","",,"","Score Summary","Ados4_2001_scoresumm_a4"
